datetime,power,global_radiation,temperature,Year,Month,Day,date
6/1/20 12:45,2.102,1032.776,27.85,2020,6,1,6/1/2020
6/25/20 13:15,2.102,1027.85,31.45,2020,6,25,6/25/2020
8/2/20 13:15,2.102,1048.698,29.30,2020,8,2,8/2/2020
5/20/20 12:30,2.101,1012.49,28.65,2020,5,20,5/20/2020
7/21/20 13:00,2.101,1034.907,28.15,2020,7,21,7/21/2020
5/15/19 12:00,2.1,991.797,16.75,2019,5,15,5/15/2019
7/10/19 13:15,2.1,1044.69,28.10,2019,7,10,7/10/2019
5/7/20 13:45,2.1,1040.02,25.05,2020,5,7,5/7/2020
6/7/19 12:00,2.099,1014.938,27.75,2019,6,7,6/7/2019
5/7/20 13:00,2.099,1028.79,24.65,2020,5,7,5/7/2020
7/11/20 15:45,2.099,755.292,25.95,2020,7,11,7/11/2020
4/30/19 13:00,2.098,1053.911,20.80,2019,4,30,4/30/2019
6/2/19 14:00,2.098,1048.903,34.60,2019,6,2,6/2/2019
6/7/19 12:30,2.098,1092.625,29.05,2019,6,7,6/7/2019
7/2/19 13:15,2.098,1055.22,28.90,2019,7,2,7/2/2019
7/3/19 14:00,2.098,1044.95,26.85,2019,7,3,7/3/2019
7/31/19 12:45,2.098,996.8,27.50,2019,7,31,7/31/2019
5/16/20 12:30,2.098,1022.418,22.20,2020,5,16,5/16/2020
5/26/20 12:45,2.098,1022.963,24.70,2020,5,26,5/26/2020
7/30/19 14:00,2.097,1055.222,33.30,2019,7,30,7/30/2019
7/5/19 13:15,2.096,1035.446,31.95,2019,7,5,7/5/2019
7/10/19 13:00,2.096,1041.445,28.05,2019,7,10,7/10/2019
5/19/20 12:45,2.096,785.39,28.55,2020,5,19,5/19/2020
6/29/20 13:30,2.096,1071.851,26.70,2020,6,29,6/29/2020
5/15/20 12:15,2.095,1008.359,19.00,2020,5,15,5/15/2020
6/22/20 14:00,2.095,1059.38,27.60,2020,6,22,6/22/2020
6/24/20 13:30,2.095,1043.03,31.75,2020,6,24,6/24/2020
7/21/20 13:45,2.095,1049.32,29.20,2020,7,21,7/21/2020
5/10/19 12:45,2.094,1089.929,20.50,2019,5,10,5/10/2019
7/2/19 14:00,2.094,1054.394,29.20,2019,7,2,7/2/2019
5/15/20 14:15,2.094,1049.338,20.90,2020,5,15,5/15/2020
6/24/20 13:15,2.094,1038.638,32.20,2020,6,24,6/24/2020
6/24/20 13:45,2.094,1043.03,31.75,2020,6,24,6/24/2020
7/20/20 13:15,2.094,1001.194,28.30,2020,7,20,7/20/2020
7/4/19 13:45,2.093,1043.003,28.15,2019,7,4,7/4/2019
5/28/20 12:15,2.093,1010.302,23.85,2020,5,28,5/28/2020
